Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.0051325 0.128499405 0.0680888243 0.0463647669 0.035154482 0.0283110778 0.0143477157 
0.005135 0.127472306 0.0675592422 0.0460083568 0.0348866612 0.0280964219 0.0142399727 
0.0051375 0.126444362 0.067029273 0.0456520443 0.0346187087 0.0278814305 0.0141321782 
0.00514 0.125415693 0.0664990038 0.0452957387 0.034350482 0.0276665194 0.0140242997 
0.0051425 0.124386114 0.0659685754 0.0449392903 0.0340820894 0.0274513943 0.0139162468 
0.005145 0.123355807 0.0654382184 0.0445825893 0.0338133487 0.0272358483 0.0138080608 
0.0051475 0.122325223 0.0649073443 0.0442254576 0.0335445858 0.027020074 0.0136998197 
0.00515 0.121294262 0.0643755919 0.0438679541 0.0332757243 0.026804385 0.0135914981 
0.0051525 0.120261773 0.0638432009 0.0435102949 0.0330062959 0.0265885778 0.0134830841 
0.005155 0.119228374 0.0633099775 0.0431521765 0.0327364739 0.0263727 0.013374594 
0.0051575 0.11819337 0.0627762575 0.0427938422 0.0324667148 0.0261564566 0.0132659827 
0.00516 0.117156727 0.0622423765 0.0424353189 0.0321968616 0.0259400291 0.0131572228 
0.0051625 0.116118833 0.0617077731 0.0420768792 0.0319269174 0.0257233635 0.0130484033 
0.005165 0.115079535 0.0611729855 0.0417177887 0.0316565551 0.025506651 0.0129395835 
0.0051675 0.114039475 0.0606380811 0.0413579722 0.0313859526 0.0252896458 0.0128306044 
0.00517 0.11299821 0.0601030563 0.0409979916 0.0311151064 0.0250724969 0.0127215165 
0.0051725 0.11195545 0.0595678489 0.0406380052 0.0308441046 0.0248551615 0.0126123854 
0.005175 0.110911782 0.059031701 0.0402778251 0.0305728521 0.0246375513 0.0125031469 
0.0051775 0.109867315 0.0584948402 0.0399173127 0.030301299 0.0244197792 0.0123938348 
0.00518 0.108822016 0.0579578309 0.0395563958 0.0300295469 0.024201897 0.0122845095 
0.0051825 0.107776023 0.0574198008 0.0391951153 0.0297575214 0.0239838643 0.0121751969 
0.005185 0.106729017 0.0568818312 0.0388336615 0.0294852177 0.0237654389 0.0120658383 
0.0051875 0.105681351 0.0563437629 0.038471962 0.0292127918 0.0235469846 0.011956327 
0.00519 0.104632816 0.0558056332 0.0381098959 0.0289402078 0.0233283409 0.0118466998 
