Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.0012675 2.78925062e-07 1.25807243e-07 8.12511414e-08 5.9985738e-08 4.75469235e-08 2.33558764e-08 
0.00127 3.0387957e-07 1.37064026e-07 8.85024134e-08 6.53612358e-08 5.18173273e-08 2.54462963e-08 
0.0012725 3.30703018e-07 1.49124234e-07 9.63153044e-08 7.11322732e-08 5.63879307e-08 2.76937393e-08 
0.001275 3.59534925e-07 1.62179661e-07 1.0474436e-07 7.73487421e-08 6.13190132e-08 3.01120879e-08 
0.0012775 3.90607295e-07 1.76195817e-07 1.13794811e-07 8.40434582e-08 6.6620939e-08 3.2719505e-08 
0.00128 4.24099302e-07 1.91303979e-07 1.23558021e-07 9.12397806e-08 7.23295821e-08 3.55212367e-08 
0.0012825 4.59926631e-07 2.07490358e-07 1.34011172e-07 9.89708192e-08 7.84578437e-08 3.8528907e-08 
0.001285 4.98549789e-07 2.24927625e-07 1.45267415e-07 1.07280207e-07 8.50411603e-08 4.17659535e-08 
0.0012875 5.39912073e-07 2.43583365e-07 1.57323386e-07 1.16178026e-07 9.21065549e-08 4.52431432e-08 
0.00129 5.84330967e-07 2.63634877e-07 1.70283156e-07 1.2577643e-07 9.97075581e-08 4.89641008e-08 
0.0012925 6.31971392e-07 2.85153842e-07 1.84186885e-07 1.36015878e-07 1.07826397e-07 5.29564024e-08 
0.001295 6.82978153e-07 3.08174688e-07 1.99044778e-07 1.47001767e-07 1.16534713e-07 5.72327616e-08 
0.0012975 7.37649491e-07 3.32832897e-07 2.14992966e-07 1.58781561e-07 1.25873126e-07 6.1823978e-08 
0.0013 7.95937216e-07 3.5921063e-07 2.32024585e-07 1.71348214e-07 1.35844747e-07 6.67200598e-08 
0.0013025 8.58449002e-07 3.87419415e-07 2.50231681e-07 1.84831489e-07 1.46521503e-07 7.19661588e-08 
0.001305 9.25208362e-07 4.17529911e-07 2.69724513e-07 1.99190467e-07 1.57923074e-07 7.75673281e-08 
0.0013075 9.96435152e-07 4.49744958e-07 2.90533895e-07 2.14593229e-07 1.70119139e-07 8.35496195e-08 
0.00131 1.07318313e-06 4.84434528e-07 3.12920016e-07 2.31103638e-07 1.83212425e-07 8.99941025e-08 
0.0013125 1.15486086e-06 5.21280485e-07 3.36748238e-07 2.48721672e-07 1.97186064e-07 9.68545922e-08 
0.001315 1.24188306e-06 5.60600212e-07 3.6216843e-07 2.67492725e-07 2.12069279e-07 1.04160317e-07 
0.0013175 1.33461004e-06 6.02540017e-07 3.89242254e-07 2.87492542e-07 2.27916507e-07 1.11948987e-07 
0.00132 1.4333743e-06 6.47130836e-07 4.18060921e-07 3.08777065e-07 2.44799869e-07 1.20244314e-07 
0.0013225 1.53832321e-06 6.9457133e-07 4.4872631e-07 3.31429689e-07 2.62759911e-07 1.29072464e-07 
0.001325 1.6501337e-06 7.45074678e-07 4.81361795e-07 3.55552268e-07 2.81888388e-07 1.3845932e-07 
0.0013275 1.76885508e-06 7.98730976e-07 5.16030611e-07 3.81146206e-07 3.02175876e-07 1.48432014e-07 
0.00133 1.89505395e-06 8.55752355e-07 5.52882299e-07 4.08379073e-07 3.23763734e-07 1.59027532e-07 
0.0013325 2.02893422e-06 9.16262089e-07 5.91956327e-07 4.37218479e-07 3.46629806e-07 1.70267102e-07 
0.001335 2.1711375e-06 9.80440465e-07 6.33443098e-07 4.67878328e-07 3.70945125e-07 1.82218425e-07 
0.0013375 2.32187541e-06 1.04854117e-06 6.77446273e-07 5.00395265e-07 3.96725951e-07 1.94878797e-07 
0.00134 2.48149135e-06 1.1207381e-06 7.2412032e-07 5.34871989e-07 4.24064899e-07 2.08312797e-07 
0.0013425 2.65075673e-06 1.19725789e-06 7.73592635e-07 5.71423974e-07 4.53040074e-07 2.22546153e-07 
0.001345 2.83003897e-06 1.27831663e-06 8.25978317e-07 6.10109849e-07 4.83722976e-07 2.37632162e-07 
0.0013475 3.01979125e-06 1.36416319e-06 8.81452983e-07 6.51119224e-07 5.16240796e-07 2.53599815e-07 
0.00135 3.22059905e-06 1.45496612e-06 9.40178999e-07 6.94496088e-07 5.50633912e-07 2.7050367e-07 
0.0013525 3.43302451e-06 1.55108448e-06 1.00229106e-06 7.40392015e-07 5.87024285e-07 2.88387142e-07 
