Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.007875 -0.769929713 -0.397226931 -0.267530049 -0.201663799 -0.161818079 -0.0813959248 
0.0078775 -0.769899117 -0.397215314 -0.267523117 -0.201659443 -0.161814747 -0.0813945323 
0.00788 -0.769864079 -0.397202883 -0.267516054 -0.201654823 -0.161811402 -0.0813934674 
0.0078825 -0.769828571 -0.397189758 -0.267509549 -0.201649926 -0.161808109 -0.0813922915 
0.007885 -0.769793888 -0.397175804 -0.267503094 -0.201645495 -0.16180518 -0.0813911525 
0.0078875 -0.769759908 -0.397162264 -0.267496555 -0.201641771 -0.161802129 -0.0813899708 
0.00789 -0.769725337 -0.397149727 -0.267490445 -0.201637552 -0.16179875 -0.0813885685 
0.0078925 -0.769689321 -0.397137866 -0.267484733 -0.201632869 -0.161795414 -0.0813871504 
0.007895 -0.769650636 -0.397125104 -0.267478365 -0.20162837 -0.161792066 -0.0813857041 
0.0078975 -0.769610942 -0.397113726 -0.267471244 -0.20162399 -0.161788517 -0.0813844175 
0.0079 -0.769570662 -0.397101939 -0.267464423 -0.20161942 -0.161785204 -0.0813834186 
0.0079025 -0.769529919 -0.397090717 -0.26745802 -0.201614617 -0.161782339 -0.0813825098 
0.007905 -0.769490597 -0.397079775 -0.26745125 -0.201610485 -0.161780101 -0.0813816092 
0.0079075 -0.769451609 -0.397068985 -0.267445161 -0.201606823 -0.161777924 -0.0813809732 
0.00791 -0.769410009 -0.39705814 -0.267438965 -0.201603893 -0.161775641 -0.0813805962 
0.0079125 -0.769373901 -0.397047774 -0.26743403 -0.201601217 -0.161773712 -0.0813798681 
0.007915 -0.769340306 -0.397036873 -0.267429295 -0.201598851 -0.161772255 -0.0813791448 
0.0079175 -0.769302591 -0.397027418 -0.267424458 -0.201596679 -0.161770534 -0.0813783954 
0.00792 -0.769264183 -0.397018143 -0.267420453 -0.201594225 -0.161768853 -0.0813777246 
0.0079225 -0.769228902 -0.39700931 -0.267416534 -0.201591687 -0.161767088 -0.0813769704 
0.007925 -0.769193863 -0.397002061 -0.267412979 -0.201589476 -0.161765229 -0.0813762524 
0.0079275 -0.769158823 -0.396992948 -0.267409917 -0.201586904 -0.161763203 -0.0813754189 
0.00793 -0.76912635 -0.396985683 -0.267406866 -0.201584259 -0.161761089 -0.0813741288 
0.0079325 -0.769096226 -0.396979712 -0.267403065 -0.20158107 -0.161758159 -0.0813728786 
0.007935 -0.769065638 -0.396974382 -0.267398135 -0.201576938 -0.161754729 -0.0813714386 
0.0079375 -0.769031655 -0.396967262 -0.267392037 -0.201572267 -0.161750934 -0.0813697374 
0.00794 -0.76900081 -0.3969584 -0.267385165 -0.201566961 -0.161746686 -0.0813675998 
0.0079425 -0.768975612 -0.396947881 -0.267377636 -0.201560857 -0.161741913 -0.0813653092 
0.007945 -0.76895304 -0.396936201 -0.267369206 -0.201554199 -0.161736915 -0.0813625914 
0.0079475 -0.768932188 -0.396923053 -0.267359995 -0.201547096 -0.161731064 -0.0813596049 
0.00795 -0.768909747 -0.396908615 -0.26734991 -0.201539298 -0.161724619 -0.0813562727 
0.0079525 -0.768883898 -0.396893291 -0.267338609 -0.201530397 -0.161717629 -0.0813526815 
0.007955 -0.76885786 -0.39687649 -0.267325902 -0.201520761 -0.161710227 -0.0813488686 
0.0079575 -0.768832752 -0.396857859 -0.267311728 -0.201510144 -0.16170194 -0.0813448696 
0.00796 -0.768804292 -0.396837972 -0.267297138 -0.201499246 -0.16169316 -0.0813405447 
0.0079625 -0.768772246 -0.396816632 -0.267281752 -0.201487892 -0.161683509 -0.081335941 
0.007965 -0.768736165 -0.396793319 -0.267265174 -0.201475712 -0.161673093 -0.0813310338 
0.0079675 -0.768697565 -0.396768557 -0.267247594 -0.201462444 -0.161662206 -0.0813258723 
0.00797 -0.768656521 -0.396742073 -0.267228995 -0.20144818 -0.161650697 -0.0813203847 
0.0079725 -0.768611718 -0.396713291 -0.267208533 -0.201432393 -0.161638541 -0.0813146006 
0.007975 -0.768561725 -0.396682414 -0.267187254 -0.201416048 -0.16162632 -0.0813086647 
0.0079775 -0.768507319 -0.396650304 -0.267165868 -0.201399936 -0.161613585 -0.0813025656 
0.00798 -0.768449443 -0.396617706 -0.267144549 -0.201383548 -0.161600586 -0.0812962865 
0.0079825 -0.768390127 -0.396583876 -0.267121849 -0.201366498 -0.161587116 -0.0812897041 
