# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous) moment(pressure viscous porous)
4e-05           	((-6.934897101e-12 6.762093108e-10 1.359921953e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.290634266e-14 8.271161533e-15 8.638922910e-15) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
4.25e-05        	((-7.958078641e-12 7.576090866e-10 1.528178473e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((9.783840405e-15 8.049116929e-15 1.024180740e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
4.5e-05         	((-8.185452316e-12 8.487859304e-10 1.706212061e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.286470930e-14 7.022160631e-15 8.305856003e-15) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
4.75e-05        	((-8.981260180e-12 9.383711586e-10 1.892885848e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.205979760e-14 9.464651285e-15 6.619704784e-15) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
5e-05           	((-1.068656275e-11 1.035687092e-09 2.090700946e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((9.867107131e-15 8.881784197e-15 1.020711293e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
5.25e-05        	((-1.102762326e-11 1.136868377e-09 2.291699275e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.501576641e-14 1.121325255e-14 8.555656184e-15) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
5.5e-05         	((-1.159605745e-11 1.240096026e-09 2.500883056e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.879052469e-14 1.013078510e-14 1.461331056e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
5.75e-05        	((-1.375610736e-11 1.350599632e-09 2.718934411e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.924849169e-14 1.298960939e-14 1.453698273e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
6e-05           	((-1.489297574e-11 1.460648491e-09 2.943352229e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.001177002e-14 1.237898672e-14 1.461331056e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
6.25e-05        	((-1.477928890e-11 1.574335329e-09 3.171635399e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.698641228e-14 1.207367539e-14 1.631333957e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
6.5e-05         	((-1.671196515e-11 1.692569640e-09 3.410832505e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.176037128e-14 1.412758799e-14 1.686151219e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
6.75e-05        	((-1.671196515e-11 1.813532435e-09 3.653894964e-09) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.173261571e-14 1.515454429e-14 1.856848009e-14) (0.000000000e+00 0.000000000e+00 0.000000000e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
