Time;Y;Vy;Fy
0.06364787;-2.164733e-08;-4.048116e-07;-2.110865e-06
0.06443813;-2.19805e-08;-4.383616e-07;-3.547915e-06
0.0652284;-2.233798e-08;-4.66339e-07;-2.97933e-06
0.06601866;-2.271226e-08;-4.80867e-07;-1.603616e-06
0.06680892;-2.309709e-08;-4.930456e-07;-1.364984e-06
0.06759919;-2.34901e-08;-5.015931e-07;-9.950214e-07
0.06838945;-2.389551e-08;-5.243903e-07;-2.457136e-06
0.06917971;-2.431266e-08;-5.313356e-07;-8.353431e-07
0.06995022;-2.472063e-08;-5.276125e-07;2.654901e-07
0.07072073;-2.512907e-08;-5.325677e-07;-6.482985e-07
0.07149124;-2.553354e-08;-5.173023e-07;1.474697e-06
0.07226174;-2.592481e-08;-4.983237e-07;1.86347e-06
0.07303225;-2.630181e-08;-4.802443e-07;1.767665e-06
0.07380276;-2.666906e-08;-4.73016e-07;6.260417e-07
0.07455125;-2.701959e-08;-4.63607e-07;8.828192e-07
0.07529974;-2.736694e-08;-4.645093e-07;-2.340611e-07
0.07604824;-2.771203e-08;-4.575705e-07;6.126006e-07
0.07679673;-2.805518e-08;-4.593337e-07;-3.302239e-07
0.07754522;-2.840017e-08;-4.624883e-07;-4.823656e-07
0.07826957;-2.873058e-08;-4.498116e-07;1.274361e-06
0.07899392;-2.905911e-08;-4.572759e-07;-9.78348e-07
0.07971826;-2.938457e-08;-4.41335e-07;1.636365e-06
0.08044261;-2.970361e-08;-4.395699e-07;5.059719e-08
0.08116696;-3.003069e-08;-4.635412e-07;-2.827853e-06
0.08186448;-3.03557e-08;-4.683534e-07;-7.088779e-07
0.082562;-3.06807e-08;-4.634862e-07;4.131565e-07
0.08325952;-3.10045e-08;-4.64954e-07;-3.236225e-07
0.08395704;-3.133031e-08;-4.692333e-07;-6.515397e-07
0.08465456;-3.165663e-08;-4.664262e-07;1.694951e-07
0.08535208;-3.19807e-08;-4.627744e-07;2.661333e-07
0.08601789;-3.228569e-08;-4.533618e-07;9.855398e-07
0.08668371;-3.258923e-08;-4.58416e-07;-7.74991e-07
0.08734952;-3.289132e-08;-4.490034e-07;9.828527e-07
0.08801534;-3.318972e-08;-4.473446e-07;3.873108e-08
0.08868115;-3.348422e-08;-4.372652e-07;1.061475e-06
0.08934697;-3.377241e-08;-4.284129e-07;9.111372e-07
0.09001278;-3.405084e-08;-4.079514e-07;2.321886e-06
0.09063698;-3.429931e-08;-3.881629e-07;2.399762e-06
0.09126118;-3.454373e-08;-3.949618e-07;-1.049836e-06
0.09188538;-3.478921e-08;-3.915827e-07;2.691677e-07
0.09250959;-3.503543e-08;-3.973359e-07;-9.165279e-07
0.09313379;-3.5285e-08;-4.022919e-07;-8.14392e-07
0.09375799;-3.553713e-08;-4.055725e-07;-5.983288e-07
0.09438219;-3.579016e-08;-4.051301e-07;-1.166365e-07
0.09500639;-3.603546e-08;-3.808535e-07;2.974022e-06
0.09563059;-3.627763e-08;-3.950695e-07;-2.019785e-06
0.09625479;-3.652903e-08;-4.104335e-07;-2.170195e-06
0.09687899;-3.676959e-08;-3.603514e-07;6.31801e-06
0.09739916;-3.695812e-08;-3.64497e-07;-8.237583e-07
0.09791933;-3.715941e-08;-4.094411e-07;-7.175546e-06
0.0984395;-3.736854e-08;-3.946705e-07;2.117753e-06
0.09895966;-3.757227e-08;-3.886486e-07;7.553156e-07
0.09947983;-3.777683e-08;-3.978523e-07;-1.615528e-06
0.1;-3.798529e-08;-4.036537e-07;-1.087096e-06
0.100578;-3.8223e-08;-4.188233e-07;-2.310171e-06
0.1011663;-3.846521e-08;-4.046015e-07;1.770771e-06
0.1017477;-3.870462e-08;-4.18981e-07;-2.190148e-06
0.1023257;-3.894826e-08;-4.241326e-07;-9.106293e-07
0.1028969;-3.91912e-08;-4.265165e-07;-5.280853e-07
0.1034614;-3.943316e-08;-4.306368e-07;-7.822657e-07
0.1040227;-3.968467e-08;-4.655643e-07;-5.231337e-06
0.1045807;-3.994561e-08;-4.697127e-07;-7.965478e-07
0.1051322;-4.020951e-08;-4.871936e-07;-2.762156e-06
0.1056806;-4.047997e-08;-4.992307e-07;-1.974915e-06
0.1062227;-4.074745e-08;-4.876657e-07;1.528437e-06
0.1067585;-4.101547e-08;-5.126436e-07;-3.974229e-06
0.1072883;-4.129124e-08;-5.284029e-07;-2.610512e-06
0.1078151;-4.157379e-08;-5.443627e-07;-2.656754e-06
0.1083359;-4.186195e-08;-5.622058e-07;-2.979287e-06
0.1088509;-4.215792e-08;-5.872564e-07;-4.145845e-06
0.109363;-4.245174e-08;-5.602838e-07;4.055964e-06
0.1098693;-4.274484e-08;-5.974096e-07;-6.146447e-06
0.1103728;-4.305221e-08;-6.23486e-07;-4.405266e-06
0.1108708;-4.338094e-08;-6.968933e-07;-1.215116e-05
0.1113659;-4.372532e-08;-6.940829e-07;2.421514e-07
0.1118583;-4.407604e-08;-7.304015e-07;-6.191051e-06
0.1123453;-4.444476e-08;-7.839051e-07;-9.117695e-06
0.1128269;-4.482899e-08;-8.116734e-07;-4.892951e-06
0.1133033;-4.522481e-08;-8.501848e-07;-6.773085e-06
0.113777;-4.56329e-08;-8.726284e-07;-4.065665e-06
0.1142456;-4.605052e-08;-9.097752e-07;-6.650835e-06
0.1147117;-4.647789e-08;-9.242023e-07;-2.741541e-06
0.1151752;-4.691266e-08;-9.517144e-07;-5.043332e-06
0.1156387;-4.736816e-08;-1.013665e-06;-1.106185e-05
0.1160997;-4.78482e-08;-1.068968e-06;-9.957329e-06
0.1165607;-4.836222e-08;-1.161085e-06;-1.642727e-05
0.1170192;-4.890477e-08;-1.205745e-06;-8.139595e-06
0.1174726;-4.945898e-08;-1.238662e-06;-6.133601e-06
0.1179236;-5.002833e-08;-1.286357e-06;-8.822584e-06
0.1183721;-5.061145e-08;-1.313909e-06;-5.236906e-06
0.1188182;-5.12142e-08;-1.388651e-06;-1.383367e-05
0.1192618;-5.184924e-08;-1.474347e-06;-1.591236e-05
0.119703;-5.251809e-08;-1.557676e-06;-1.55691e-05
0.1201442;-5.322522e-08;-1.647814e-06;-1.682366e-05
0.1205853;-5.395923e-08;-1.67959e-06;-6.118595e-06
0.1210265;-5.470729e-08;-1.711489e-06;-6.145102e-06
0.1214677;-5.548338e-08;-1.806616e-06;-1.775337e-05
0.1219065;-5.628972e-08;-1.86918e-06;-1.184776e-05
0.1223427;-5.712371e-08;-1.954019e-06;-1.605191e-05
0.122779;-5.799614e-08;-2.045414e-06;-1.727474e-05
0.1232128;-5.888935e-08;-2.072418e-06;-5.358834e-06
0.1236467;-5.981583e-08;-2.198746e-06;-2.390156e-05
0.1240805;-6.079322e-08;-2.307128e-06;-2.055948e-05
0.1245143;-6.181824e-08;-2.418351e-06;-2.10971e-05
0.1249481;-6.289302e-08;-2.536543e-06;-2.240515e-05
0.125382;-6.401252e-08;-2.624478e-06;-1.676606e-05
0.1258158;-6.517636e-08;-2.741006e-06;-2.211003e-05
0.1262471;-6.637662e-08;-2.824703e-06;-1.608209e-05
0.1266784;-6.760754e-08;-2.883176e-06;-1.135443e-05
0.1271072;-6.886483e-08;-2.981251e-06;-1.890434e-05
0.127536;-7.016979e-08;-3.105563e-06;-2.386713e-05
0.1279647;-7.151788e-08;-3.182462e-06;-1.492285e-05
0.1283935;-7.289079e-08;-3.221272e-06;-7.738573e-06
0.1288198;-7.428791e-08;-3.33444e-06;-2.191522e-05
0.1292434;-7.572453e-08;-3.446951e-06;-2.192768e-05
0.1296671;-7.72124e-08;-3.576377e-06;-2.516969e-05
0.1300908;-7.874502e-08;-3.658193e-06;-1.608142e-05
0.130512;-8.030484e-08;-3.749407e-06;-1.7992e-05
0.1309331;-8.191964e-08;-3.919314e-06;-3.313142e-05
0.1313543;-8.358962e-08;-4.011397e-06;-1.818044e-05
0.1317754;-8.527117e-08;-3.974284e-06;6.649299e-06
0.1321965;-8.696744e-08;-4.081309e-06;-2.106998e-05
0.1326177;-8.87084e-08;-4.186537e-06;-2.073496e-05
0.1330388;-9.047685e-08;-4.211842e-06;-5.379459e-06
0.1334599;-9.226366e-08;-4.273709e-06;-1.241772e-05
0.1338838;-9.409279e-08;-4.357896e-06;-1.661643e-05
0.1343076;-9.597106e-08;-4.505549e-06;-2.875185e-05
0.1347342;-9.79076e-08;-4.573913e-06;-1.353223e-05
0.1351607;-9.986492e-08;-4.602977e-06;-6.083282e-06
0.1355901;-1.018649e-07;-4.712375e-06;-2.120476e-05
0.1360224;-1.039239e-07;-4.813496e-06;-1.952902e-05
0.1364547;-1.060143e-07;-4.858171e-06;-8.968108e-06
0.1368899;-1.081591e-07;-4.997566e-06;-2.654338e-05
0.1373252;-1.103284e-07;-4.970406e-06;4.428292e-06
0.1377604;-1.125015e-07;-5.015231e-06;-8.972544e-06
0.1381957;-1.146824e-07;-5.00657e-06;9.663752e-07
0.1386309;-1.168709e-07;-5.049999e-06;-8.734024e-06
0.1390662;-1.190712e-07;-5.060645e-06;-2.646326e-06
0.1395014;-1.21287e-07;-5.121028e-06;-1.190947e-05
0.1399366;-1.23511e-07;-5.098423e-06;3.517379e-06
0.1403719;-1.257379e-07;-5.134747e-06;-7.455116e-06
0.1408103;-1.280406e-07;-5.369189e-06;-4.400485e-05
0.1412488;-1.304476e-07;-5.610444e-06;-4.527939e-05
0.1416872;-1.329114e-07;-5.628339e-06;-4.047345e-06
0.142129;-1.354017e-07;-5.645969e-06;-3.985702e-06
0.1425707;-1.378957e-07;-5.645107e-06;-6.083444e-07
0.1430159;-1.404162e-07;-5.678514e-06;-6.853836e-06
0.1434646;-1.429777e-07;-5.738991e-06;-1.170387e-05
0.1439133;-1.45545e-07;-5.704394e-06;5.439808e-06
0.1443656;-1.481213e-07;-5.687323e-06;2.241235e-06
0.1448216;-1.507099e-07;-5.665336e-06;3.077925e-06
0.1452815;-1.533095e-07;-5.641846e-06;3.298918e-06
0.1457452;-1.559431e-07;-5.716868e-06;-1.39487e-05
0.1462129;-1.586256e-07;-5.753594e-06;-7.220867e-06
0.1466806;-1.613264e-07;-5.795339e-06;-8.103238e-06
0.1471525;-1.640706e-07;-5.836252e-06;-7.910444e-06
